OrderedID,ZLocation,Z,ZGeocode_na,Zlat,Zlon,UR2022_V1,UR2022_V_1,UR2022_V_2,IUR2022_V1,IUR2022_1,LAND_AREA,AREA_SQ_KM,Shape_Leng,Xcoordinate,Ycoordinate
35,,,,,,1114,Clarks Beach,Clarks Beach,14,Small urban area,2.67353718,2.67353718,9506.67448763434,174.707577274,-37.1383617179999
36,Thames,0.16,Thames,-37.137983,175.5418037,1142,Thames,Thames,14,Small urban area,15.5520514,15.5520514,30938.9416529877,175.554837455,-37.154791642
37,,,,,,1122,Patumāhoe,Patumahoe,14,Small urban area,1.81785232,1.81785232,7773.827531476,174.828669794,-37.1879816969999
38,Pukekohe,0.13,Pukekohe,-37.2006384,174.9036875,1125,Pukekohe,Pukekohe,13,Medium urban area,32.06530245,32.06530245,35585.2444160287,174.910428931,-37.2006155829999
39,,,,,,1147,Whangamatā,Whangamata,14,Small urban area,8.46275914,8.46275914,28806.7971640259,175.865693843,-37.2107731889999
40,,,,,,1160,Pōkeno,Pokeno,14,Small urban area,10.10315364,10.10315364,15899.7705305382,175.026463814,-37.242253201
41,Waiuku,0.13,Waiuku,-37.2492813,174.7302071,1121,Waiuku,Waiuku,14,Small urban area,7.70905052,7.70905052,21971.7482776638,174.735741022,-37.250814454
42,,,,,,1159,Tuakau,Tuakau,14,Small urban area,5.35471817,5.35471817,17338.986164394,174.945035561,-37.265502311
43,,,,,,1149,Ngatea,Ngatea,14,Small urban area,3.35336086,3.35336086,11444.8694148032,175.491530471,-37.279010414
44,Paeroa,0.18,Paeroa,-37.3804671,175.6704263,1153,Paeroa,Paeroa,14,Small urban area,6.86958907,6.86958907,13511.4794918809,175.673936731,-37.3753524589999
45,Waihi,0.18,Waihi,-37.391462,175.8403538,1157,Waihī,Waihi,14,Small urban area,9.40429008,9.40429008,23359.9810881416,175.843485047,-37.3873417459999
